a	b	clase
168	141	rojo
165	143	rojo
170	143	rojo
172	145	rojo
174	145	rojo
167	147	rojo
174	147	rojo
169	149	rojo
170	150	rojo
164	151	rojo
172	151	rojo
175	152	rojo
164	153	rojo
168	154	rojo
170	156	rojo
173	157	rojo
176	159	rojo
175	162	rojo
165	151	naranja
157	153	naranja
167	156	naranja
171	156	naranja
160	155	naranja
165	150	naranja
177	161	naranja
179	162	naranja
172	163	naranja
168	160	naranja
172	164	naranja
171	165	naranja
178	165	naranja
169	166	naranja
165	168	naranja
174	168	naranja
173	169	naranja
160	143	naranja
